Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2019,Lamborghini,Urus,53556 km,SUV,8 Cylinder,Automatic,AWD,Blue,Brown,null,4,Gas,null,null,279800
2019,Lamborghini,Urus,33000 km,SUV,8 Cylinder,Automatic,AWD,White,Red,null,4,Gas,null,null,299800
2018,Lamborghini,Huracan,16097 km,Convertible,10 Cylinder,Automatic,AWD,Black,Black,null,2,Gas,null,null,449800
2017,Lamborghini,Aventador,16113 km,Coupe,12 Cylinder,Automatic,AWD,White,Black,null,2,Gas,null,null,578800
2016,Lamborghini,Huracan,35000 km,Convertible,null,Automatic,AWD,Grey,null,null,2 doors,Gasoline,null,null,299000
2021,Lamborghini,Huracan,5586 km,Convertible,10 Cylinder Engine,7 Speed Automatic,RWD,Blu Aegeus Matt,null,null,null,Gas,18.1L/100km,13.1L/100km,449998
2006,Lamborghini,Gallardo,44000 km,Coupe,5.0L,Manual,AWD,Nero Noctis,Black,2,2,Gas,23.5L - 26.1L/100km,13.8L - 15.7L/100km,168888
2013,Lamborghini,Gallardo,23000 km,Coupe,5.2L,Automatic,AWD,Bianco Monocerus,Orange,2,2,Gas,null,null,198000
2019,Lamborghini,Urus,53556 km,SUV,8 Cylinder,Automatic,AWD,Blue,Brown,null,4,Gas,null,null,279800
2019,Lamborghini,Urus,28000 km,SUV,8 Cylinder Engine,8 Speed Automatic,AWD,White,White,null,null,Gas,null,null,298800
2019,Lamborghini,Urus,33000 km,SUV,8 Cylinder,Automatic,AWD,White,Red,null,4,Gas,null,null,299800
2018,Lamborghini,Huracan,67000 km,Coupe,10 Cylinder Engine,7 Speed Automatic,AWD,White,Black,null,null,Gas,null,null,328800
